;ICC;F;df1;df2;pval;CI95%;Description;Stage;Group;Bands;Components
233;0.974429;39.107523;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;theta;FC6
234;0.940096;16.693315;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;alpha-1;FC6
235;0.918551;12.277568;17;51;0.0;[0.83 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;FC6
236;0.964849;28.448553;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;beta1;FC6
237;0.881927;8.469346;17;51;0.0;[0.76 0.95];Average fixed raters;Preprocessed data;CTR;beta2;FC6
238;0.948555;19.438214;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;beta3;FC6
239;0.921433;12.727973;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;gamma;FC6
240;0.9295;14.18445;17;51;0.0;[0.86 0.97];Average fixed raters;Preprocessed data;CTR;delta;FCZ
241;0.960499;25.315539;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;theta;FCZ
242;0.942124;17.278252;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;alpha-1;FCZ
243;0.936714;15.801368;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;FCZ
244;0.962291;26.518661;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta1;FCZ
245;0.954444;21.951237;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;beta2;FCZ
246;0.962522;26.682539;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta3;FCZ
247;0.959714;24.822787;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;gamma;FCZ
248;0.861119;7.200428;17;51;0.0;[0.72 0.94];Average fixed raters;Preprocessed data;CTR;delta;FP1
249;0.972386;36.213819;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;theta;FP1
250;0.927927;13.874787;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;FP1
251;0.943327;17.645088;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;FP1
252;0.952089;20.872142;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;beta1;FP1
253;0.943392;17.665336;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;beta2;FP1
254;0.966066;29.469305;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;beta3;FP1
255;0.944967;18.17092;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;gamma;FP1
256;0.87903;8.266512;17;51;0.0;[0.75 0.95];Average fixed raters;Preprocessed data;CTR;delta;FP2
257;0.975916;41.520975;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;theta;FP2
258;0.925689;13.45691;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;FP2
259;0.947904;19.195225;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;FP2
260;0.962833;26.905893;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta1;FP2
261;0.952081;20.86844;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;beta2;FP2
262;0.943919;17.831233;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;beta3;FP2
263;0.94391;17.828524;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;gamma;FP2
264;0.853628;6.8319;17;51;0.0;[0.7  0.94];Average fixed raters;Preprocessed data;CTR;delta;FPZ
265;0.964589;28.240106;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;theta;FPZ
266;0.925527;13.42769;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;FPZ
267;0.946999;18.867508;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;FPZ
268;0.961965;26.2917;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta1;FPZ
269;0.923847;13.131523;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;beta2;FPZ
270;0.888218;8.945953;17;51;0.0;[0.77 0.95];Average fixed raters;Preprocessed data;CTR;beta3;FPZ
271;0.858707;7.077501;17;51;0.0;[0.71 0.94];Average fixed raters;Preprocessed data;CTR;gamma;FPZ
272;0.947016;18.873717;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;delta;FZ
273;0.956371;22.920521;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;theta;FZ
274;0.926315;13.571197;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;FZ
275;0.941777;17.175437;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;FZ
276;0.975187;40.30113;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;beta1;FZ
277;0.95042;20.169603;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;beta2;FZ
278;0.959522;24.704876;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta3;FZ
279;0.910698;11.197917;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;gamma;FZ
280;0.918874;12.326578;17;51;0.0;[0.83 0.97];Average fixed raters;Preprocessed data;CTR;delta;O1
281;0.941045;16.962043;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;theta;O1
282;0.952057;20.858207;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;alpha-1;O1
283;0.922263;12.863808;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;O1
284;0.973997;38.457063;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;beta1;O1
285;0.933504;15.038605;17;51;0.0;[0.86 0.97];Average fixed raters;Preprocessed data;CTR;beta2;O1
286;0.95885;24.301425;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta3;O1
287;0.943242;17.618586;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;gamma;O1
288;0.912591;11.440414;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;delta;O2
289;0.965913;29.336944;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;theta;O2
290;0.948076;19.259099;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;alpha-1;O2
291;0.890624;9.142787;17;51;0.0;[0.78 0.95];Average fixed raters;Preprocessed data;CTR;alpha-2;O2
292;0.969376;32.654122;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;beta1;O2
293;0.929536;14.191652;17;51;0.0;[0.86 0.97];Average fixed raters;Preprocessed data;CTR;beta2;O2
294;0.954573;22.013469;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;beta3;O2
295;0.923951;13.149434;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;gamma;O2
296;0.919197;12.375711;17;51;0.0;[0.83 0.97];Average fixed raters;Preprocessed data;CTR;delta;OZ
297;0.95151;20.623012;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;theta;OZ
298;0.942783;17.477413;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;alpha-1;OZ
299;0.899818;9.981883;17;51;0.0;[0.79 0.96];Average fixed raters;Preprocessed data;CTR;alpha-2;OZ
300;0.965622;29.088027;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;beta1;OZ
301;0.922844;12.960672;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;beta2;OZ
302;0.958526;24.111343;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;beta3;OZ
303;0.94754;19.062064;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;gamma;OZ
304;0.915806;11.877304;17;51;0.0;[0.83 0.96];Average fixed raters;Preprocessed data;CTR;delta;P1
305;0.965194;28.730457;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;theta;P1
306;0.891275;9.197497;17;51;0.0;[0.78 0.95];Average fixed raters;Preprocessed data;CTR;alpha-1;P1
307;0.954036;21.756093;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;P1
308;0.957516;23.538121;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;beta1;P1
309;0.960136;25.085017;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta2;P1
310;0.973661;37.967189;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;beta3;P1
311;0.927794;13.849198;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;gamma;P1
312;0.870122;7.699524;17;51;0.0;[0.73 0.95];Average fixed raters;Preprocessed data;CTR;delta;P2
313;0.965106;28.658002;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;theta;P2
314;0.923803;13.123941;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;P2
315;0.928704;14.025988;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;P2
316;0.965812;29.249932;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;beta1;P2
317;0.947552;19.066622;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;beta2;P2
318;0.977895;45.238856;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;beta3;P2
319;0.90421;10.439512;17;51;0.0;[0.8  0.96];Average fixed raters;Preprocessed data;CTR;gamma;P2
320;0.889682;9.064673;17;51;0.0;[0.77 0.95];Average fixed raters;Preprocessed data;CTR;delta;P3
321;0.970239;33.601207;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;theta;P3
322;0.907178;10.773342;17;51;0.0;[0.81 0.96];Average fixed raters;Preprocessed data;CTR;alpha-1;P3
323;0.951974;20.821886;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;P3
324;0.972927;36.936535;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;beta1;P3
325;0.94173;17.161461;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;beta2;P3
326;0.96938;32.657948;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;beta3;P3
327;0.925929;13.500512;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;gamma;P3
328;0.907625;10.82543;17;51;0.0;[0.81 0.96];Average fixed raters;Preprocessed data;CTR;delta;P4
329;0.980441;51.126668;17;51;0.0;[0.96 0.99];Average fixed raters;Preprocessed data;CTR;theta;P4
330;0.937275;15.942634;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;P4
331;0.93413;15.181345;17;51;0.0;[0.86 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;P4
332;0.973549;37.805722;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;beta1;P4
333;0.960387;25.243929;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta2;P4
334;0.980282;50.715253;17;51;0.0;[0.96 0.99];Average fixed raters;Preprocessed data;CTR;beta3;P4
335;0.891358;9.204555;17;51;0.0;[0.78 0.95];Average fixed raters;Preprocessed data;CTR;gamma;P4
336;0.902512;10.257685;17;51;0.0;[0.8  0.96];Average fixed raters;Preprocessed data;CTR;delta;P5
337;0.955459;22.451325;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;theta;P5
338;0.931636;14.627475;17;51;0.0;[0.86 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;P5
339;0.94267;17.442773;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;P5
340;0.984185;63.230496;17;51;0.0;[0.97 0.99];Average fixed raters;Preprocessed data;CTR;beta1;P5
341;0.951434;20.590596;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;beta2;P5
342;0.965184;28.72277;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;beta3;P5
343;0.920833;12.631577;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;gamma;P5
344;0.91251;11.429848;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;delta;P6
345;0.982193;56.158445;17;51;0.0;[0.96 0.99];Average fixed raters;Preprocessed data;CTR;theta;P6
346;0.939463;16.518845;17;51;0.0;[0.88 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;P6
347;0.927019;13.702156;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;P6
348;0.983875;62.014177;17;51;0.0;[0.97 0.99];Average fixed raters;Preprocessed data;CTR;beta1;P6
349;0.959359;24.605813;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta2;P6
350;0.981349;53.616103;17;51;0.0;[0.96 0.99];Average fixed raters;Preprocessed data;CTR;beta3;P6
351;0.917875;12.176603;17;51;0.0;[0.83 0.97];Average fixed raters;Preprocessed data;CTR;gamma;P6
352;0.930858;14.46296;17;51;0.0;[0.86 0.97];Average fixed raters;Preprocessed data;CTR;delta;P7
353;0.968895;32.148802;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;theta;P7
354;0.927159;13.728559;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;P7
355;0.939358;16.490341;17;51;0.0;[0.88 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;P7
356;0.982969;58.717137;17;51;0.0;[0.97 0.99];Average fixed raters;Preprocessed data;CTR;beta1;P7
357;0.955242;22.342202;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;beta2;P7
358;0.968346;31.591536;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;beta3;P7
359;0.949557;19.824504;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;gamma;P7
360;0.884278;8.641427;17;51;0.0;[0.76 0.95];Average fixed raters;Preprocessed data;CTR;delta;P8
361;0.98586;70.720669;17;51;0.0;[0.97 0.99];Average fixed raters;Preprocessed data;CTR;theta;P8
362;0.91936;12.400817;17;51;0.0;[0.83 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;P8
363;0.930299;14.347065;17;51;0.0;[0.86 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;P8
364;0.978484;46.477619;17;51;0.0;[0.96 0.99];Average fixed raters;Preprocessed data;CTR;beta1;P8
365;0.965297;28.815701;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;beta2;P8
366;0.972931;36.94236;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;beta3;P8
367;0.913149;11.514033;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;gamma;P8
368;0.925298;13.386559;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;delta;PO3
369;0.938999;16.393224;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;theta;PO3
370;0.928716;14.02843;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;PO3
371;0.962326;26.543816;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;PO3
372;0.969927;33.25261;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;beta1;PO3
373;0.962423;26.611913;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta2;PO3
374;0.963364;27.295293;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta3;PO3
375;0.934831;15.34467;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;gamma;PO3
376;0.898852;9.886462;17;51;0.0;[0.79 0.96];Average fixed raters;Preprocessed data;CTR;delta;PO4
377;0.968401;31.646863;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;theta;PO4
378;0.938455;16.248266;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;PO4
379;0.944134;17.899967;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;PO4
380;0.965169;28.710114;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;beta1;PO4
381;0.947167;18.927551;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;beta2;PO4
382;0.978902;47.398221;17;51;0.0;[0.96 0.99];Average fixed raters;Preprocessed data;CTR;beta3;PO4
383;0.947302;18.976222;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;gamma;PO4
384;0.913642;11.579712;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;delta;PO5
385;0.924688;13.278104;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;theta;PO5
386;0.938912;16.369718;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;PO5
387;0.951513;20.623958;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;PO5
388;0.980773;52.011276;17;51;0.0;[0.96 0.99];Average fixed raters;Preprocessed data;CTR;beta1;PO5
389;0.960339;25.213576;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta2;PO5
390;0.962009;26.322101;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta3;PO5
391;0.923406;13.055891;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;gamma;PO5
392;0.909914;11.100551;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;delta;PO6
393;0.97479;39.666511;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;theta;PO6
394;0.9485;19.417568;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;alpha-1;PO6
395;0.919941;12.490785;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;PO6
396;0.973446;37.659271;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;beta1;PO6
397;0.948977;19.598858;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;beta2;PO6
398;0.980726;51.882692;17;51;0.0;[0.96 0.99];Average fixed raters;Preprocessed data;CTR;beta3;PO6
399;0.941755;17.16881;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;gamma;PO6
400;0.880739;8.385002;17;51;0.0;[0.76 0.95];Average fixed raters;Preprocessed data;CTR;delta;PO7
401;0.947816;19.162963;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;theta;PO7
402;0.93653;15.755452;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;PO7
403;0.937225;15.929984;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;PO7
404;0.981315;53.519493;17;51;0.0;[0.96 0.99];Average fixed raters;Preprocessed data;CTR;beta1;PO7
405;0.950107;20.042818;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;beta2;PO7
406;0.948604;19.456852;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;beta3;PO7
407;0.911068;11.244556;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;gamma;PO7
408;0.879091;8.270707;17;51;0.0;[0.75 0.95];Average fixed raters;Preprocessed data;CTR;delta;PO8
409;0.969295;32.567752;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;theta;PO8
410;0.947329;18.98575;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;alpha-1;PO8
411;0.903701;10.384284;17;51;0.0;[0.8  0.96];Average fixed raters;Preprocessed data;CTR;alpha-2;PO8
412;0.974739;39.586404;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;beta1;PO8
413;0.949442;19.779221;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;beta2;PO8
414;0.959462;24.668407;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta3;PO8
415;0.920344;12.553907;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;gamma;PO8
416;0.912008;11.364634;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;delta;POZ
417;0.956072;22.764549;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;theta;POZ
418;0.929239;14.132103;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;POZ
419;0.955849;22.649577;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;POZ
420;0.958703;24.214979;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta1;POZ
421;0.953429;21.472504;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;beta2;POZ
422;0.973995;38.454708;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;beta3;POZ
423;0.955689;22.568001;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;gamma;POZ
424;0.904345;10.454236;17;51;0.0;[0.8  0.96];Average fixed raters;Preprocessed data;CTR;delta;PZ
425;0.959995;24.996579;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;theta;PZ
426;0.873734;7.919808;17;51;0.0;[0.74 0.95];Average fixed raters;Preprocessed data;CTR;alpha-1;PZ
427;0.932937;14.911361;17;51;0.0;[0.86 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;PZ
428;0.958954;24.362993;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta1;PZ
429;0.93994;16.649909;17;51;0.0;[0.88 0.97];Average fixed raters;Preprocessed data;CTR;beta2;PZ
430;0.966013;29.423316;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;beta3;PZ
431;0.873706;7.918011;17;51;0.0;[0.74 0.95];Average fixed raters;Preprocessed data;CTR;gamma;PZ
432;0.843014;6.369998;17;51;0.0;[0.68 0.93];Average fixed raters;Preprocessed data;CTR;delta;T7
433;0.970471;33.864791;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;theta;T7
434;0.932759;14.871975;17;51;0.0;[0.86 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;T7
435;0.8632;7.309961;17;51;0.0;[0.72 0.94];Average fixed raters;Preprocessed data;CTR;alpha-2;T7
436;0.92108;12.671027;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;beta1;T7
437;0.896315;9.644577;17;51;0.0;[0.79 0.96];Average fixed raters;Preprocessed data;CTR;beta2;T7
438;0.935468;15.496168;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;beta3;T7
439;0.875651;8.041909;17;51;0.0;[0.75 0.95];Average fixed raters;Preprocessed data;CTR;gamma;T7
440;0.907386;10.797494;17;51;0.0;[0.81 0.96];Average fixed raters;Preprocessed data;CTR;delta;T8
441;0.966505;29.855045;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;theta;T8
442;0.9403;16.750334;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;alpha-1;T8
443;0.909999;11.110934;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;alpha-2;T8
444;0.908201;10.893419;17;51;0.0;[0.81 0.96];Average fixed raters;Preprocessed data;CTR;beta1;T8
445;0.92573;13.464416;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;beta2;T8
446;0.942737;17.463349;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;beta3;T8
447;0.917953;12.188162;17;51;0.0;[0.83 0.97];Average fixed raters;Preprocessed data;CTR;gamma;T8
448;0.879029;8.266478;17;51;0.0;[0.75 0.95];Average fixed raters;Preprocessed data;CTR;delta;TP7
449;0.973342;37.51195;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;theta;TP7
450;0.903854;10.400869;17;51;0.0;[0.8  0.96];Average fixed raters;Preprocessed data;CTR;alpha-1;TP7
451;0.892035;9.262252;17;51;0.0;[0.78 0.96];Average fixed raters;Preprocessed data;CTR;alpha-2;TP7
452;0.915027;11.768475;17;51;0.0;[0.83 0.96];Average fixed raters;Preprocessed data;CTR;beta1;TP7
453;0.926858;13.671953;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;beta2;TP7
454;0.938013;16.132412;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;beta3;TP7
455;0.903475;10.360058;17;51;0.0;[0.8  0.96];Average fixed raters;Preprocessed data;CTR;gamma;TP7
456;0.893945;9.429052;17;51;0.0;[0.78 0.96];Average fixed raters;Preprocessed data;CTR;delta;TP8
457;0.975054;40.086648;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;theta;TP8
458;0.89528;9.549299;17;51;0.0;[0.79 0.96];Average fixed raters;Preprocessed data;CTR;alpha-1;TP8
459;0.924801;13.297984;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;TP8
460;0.959602;24.753986;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta1;TP8
461;0.931968;14.69894;17;51;0.0;[0.86 0.97];Average fixed raters;Preprocessed data;CTR;beta2;TP8
462;0.943555;17.716377;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;beta3;TP8
463;0.901324;10.134157;17;51;0.0;[0.8  0.96];Average fixed raters;Preprocessed data;CTR;gamma;TP8
464;0.837925;6.169967;24;72;0.0;[0.7  0.92];Average fixed raters;Preprocessed data;G2;delta;AF3
465;0.932295;14.770018;24;72;0.0;[0.88 0.97];Average fixed raters;Preprocessed data;G2;theta;AF3
466;0.919584;12.435402;24;72;0.0;[0.85 0.96];Average fixed raters;Preprocessed data;G2;alpha-1;AF3
467;0.886948;8.845471;24;72;0.0;[0.79 0.95];Average fixed raters;Preprocessed data;G2;alpha-2;AF3
468;0.921689;12.769627;24;72;0.0;[0.86 0.96];Average fixed raters;Preprocessed data;G2;beta1;AF3
469;0.95387;21.677796;24;72;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;G2;beta2;AF3
470;0.952826;21.197944;24;72;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;G2;beta3;AF3
471;0.889134;9.019926;24;72;0.0;[0.8  0.95];Average fixed raters;Preprocessed data;G2;gamma;AF3
472;0.782231;4.592016;24;72;0.0;[0.6  0.89];Average fixed raters;Preprocessed data;G2;delta;AF4
473;0.936493;15.746222;24;72;0.0;[0.88 0.97];Average fixed raters;Preprocessed data;G2;theta;AF4
474;0.923304;13.038551;24;72;0.0;[0.86 0.96];Average fixed raters;Preprocessed data;G2;alpha-1;AF4
475;0.889267;9.030741;24;72;0.0;[0.8  0.95];Average fixed raters;Preprocessed data;G2;alpha-2;AF4
476;0.886947;8.845378;24;72;0.0;[0.79 0.95];Average fixed raters;Preprocessed data;G2;beta1;AF4
477;0.929362;14.156744;24;72;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;G2;beta2;AF4
