;ICC;F;df1;df2;pval;CI95%;Description;Stage;Group;Bands;Components
48;0.895162;9.538481;17;51;0.0;[0.79 0.96];Average fixed raters;Preprocessed data;CTR;delta;C5
49;0.957772;23.681078;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;theta;C5
50;0.945943;18.499132;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;alpha-1;C5
51;0.926834;13.667629;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;C5
52;0.927871;13.863997;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;beta1;C5
53;0.857026;6.994284;17;51;0.0;[0.71 0.94];Average fixed raters;Preprocessed data;CTR;beta2;C5
54;0.926843;13.669172;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;beta3;C5
55;0.888998;9.008829;17;51;0.0;[0.77 0.95];Average fixed raters;Preprocessed data;CTR;gamma;C5
56;0.910074;11.120217;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;delta;C6
57;0.976309;42.210949;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;theta;C6
58;0.928135;13.915076;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;C6
59;0.917426;12.110363;17;51;0.0;[0.83 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;C6
60;0.930361;14.359758;17;51;0.0;[0.86 0.97];Average fixed raters;Preprocessed data;CTR;beta1;C6
61;0.839479;6.22972;17;51;0.0;[0.67 0.93];Average fixed raters;Preprocessed data;CTR;beta2;C6
62;0.925028;13.338252;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;beta3;C6
63;0.923264;13.031644;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;gamma;C6
64;0.915411;11.821894;17;51;0.0;[0.83 0.96];Average fixed raters;Preprocessed data;CTR;delta;CP1
65;0.972527;36.39901;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;theta;CP1
66;0.907653;10.828746;17;51;0.0;[0.81 0.96];Average fixed raters;Preprocessed data;CTR;alpha-1;CP1
67;0.912248;11.395791;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;alpha-2;CP1
68;0.960379;25.23894;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta1;CP1
69;0.963614;27.482808;17;51;0.0;[0.93 0.98];Average fixed raters;Preprocessed data;CTR;beta2;CP1
70;0.964514;28.18;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;beta3;CP1
71;0.872046;7.815324;17;51;0.0;[0.74 0.95];Average fixed raters;Preprocessed data;CTR;gamma;CP1
72;0.900915;10.092366;17;51;0.0;[0.8  0.96];Average fixed raters;Preprocessed data;CTR;delta;CP2
73;0.961306;25.844118;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;theta;CP2
74;0.922864;12.964159;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;CP2
75;0.88375;8.602139;17;51;0.0;[0.76 0.95];Average fixed raters;Preprocessed data;CTR;alpha-2;CP2
76;0.97171;35.347999;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;beta1;CP2
77;0.955073;22.258462;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;beta2;CP2
78;0.979407;48.559657;17;51;0.0;[0.96 0.99];Average fixed raters;Preprocessed data;CTR;beta3;CP2
79;0.851353;6.727361;17;51;0.0;[0.7  0.94];Average fixed raters;Preprocessed data;CTR;gamma;CP2
80;0.891697;9.233352;17;51;0.0;[0.78 0.95];Average fixed raters;Preprocessed data;CTR;delta;CP3
81;0.977364;44.178252;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;theta;CP3
82;0.937152;15.911294;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;CP3
83;0.923498;13.071613;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;CP3
84;0.970282;33.649093;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;beta1;CP3
85;0.957385;23.466025;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;beta2;CP3
86;0.972727;36.666242;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;beta3;CP3
87;0.90246;10.252231;17;51;0.0;[0.8  0.96];Average fixed raters;Preprocessed data;CTR;gamma;CP3
88;0.916309;11.948702;17;51;0.0;[0.83 0.97];Average fixed raters;Preprocessed data;CTR;delta;CP4
89;0.978408;46.313216;17;51;0.0;[0.96 0.99];Average fixed raters;Preprocessed data;CTR;theta;CP4
90;0.939591;16.553812;17;51;0.0;[0.88 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;CP4
91;0.913324;11.537188;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;alpha-2;CP4
92;0.970094;33.437985;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;beta1;CP4
93;0.944433;17.996416;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;beta2;CP4
94;0.974478;39.182138;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;beta3;CP4
95;0.880182;8.345988;17;51;0.0;[0.75 0.95];Average fixed raters;Preprocessed data;CTR;gamma;CP4
96;0.905095;10.536807;17;51;0.0;[0.81 0.96];Average fixed raters;Preprocessed data;CTR;delta;CP5
97;0.968544;31.790441;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;theta;CP5
98;0.926531;13.611094;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;CP5
99;0.900762;10.07681;17;51;0.0;[0.8  0.96];Average fixed raters;Preprocessed data;CTR;alpha-2;CP5
100;0.973772;38.127004;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;beta1;CP5
101;0.918484;12.26752;17;51;0.0;[0.83 0.97];Average fixed raters;Preprocessed data;CTR;beta2;CP5
102;0.966771;30.094621;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;beta3;CP5
103;0.919832;12.473807;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;gamma;CP5
104;0.912552;11.435346;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;delta;CP6
105;0.961673;26.091208;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;theta;CP6
106;0.923582;13.085886;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;CP6
107;0.922893;12.96899;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;CP6
108;0.961541;26.001809;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta1;CP6
109;0.904149;10.432904;17;51;0.0;[0.8  0.96];Average fixed raters;Preprocessed data;CTR;beta2;CP6
110;0.950584;20.236412;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;beta3;CP6
111;0.901944;10.198231;17;51;0.0;[0.8  0.96];Average fixed raters;Preprocessed data;CTR;gamma;CP6
112;0.898818;9.883169;17;51;0.0;[0.79 0.96];Average fixed raters;Preprocessed data;CTR;delta;CPZ
113;0.964312;28.020499;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;theta;CPZ
114;0.923723;13.110196;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;CPZ
115;0.91532;11.809124;17;51;0.0;[0.83 0.96];Average fixed raters;Preprocessed data;CTR;alpha-2;CPZ
116;0.969496;32.782162;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;beta1;CPZ
117;0.958368;24.019894;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;beta2;CPZ
118;0.967354;30.631263;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;beta3;CPZ
119;0.912649;11.448109;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;gamma;CPZ
120;0.882865;8.537159;17;51;0.0;[0.76 0.95];Average fixed raters;Preprocessed data;CTR;delta;CZ
121;0.967494;30.763721;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;theta;CZ
122;0.941579;17.117036;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;alpha-1;CZ
123;0.93244;14.801644;17;51;0.0;[0.86 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;CZ
124;0.947966;19.218324;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;beta1;CZ
125;0.962352;26.562037;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta2;CZ
126;0.958578;24.141993;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta3;CZ
127;0.965302;28.820324;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;gamma;CZ
128;0.95371;21.603096;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;delta;F1
129;0.966449;29.805772;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;theta;F1
130;0.941989;17.238049;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;alpha-1;F1
131;0.943195;17.604046;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;F1
132;0.973246;37.3775;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;beta1;F1
133;0.956722;23.106368;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;beta2;F1
134;0.974143;38.674283;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;beta3;F1
135;0.950024;20.009598;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;gamma;F1
136;0.907224;10.7786;17;51;0.0;[0.81 0.96];Average fixed raters;Preprocessed data;CTR;delta;F2
137;0.955378;22.410578;17;51;0.0;[0.91 0.98];Average fixed raters;Preprocessed data;CTR;theta;F2
138;0.936743;15.808507;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;F2
139;0.944059;17.875962;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;F2
140;0.972496;36.358861;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;beta1;F2
141;0.95061;20.247021;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;beta2;F2
142;0.945397;18.313933;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;beta3;F2
143;0.889362;9.038452;17;51;0.0;[0.77 0.95];Average fixed raters;Preprocessed data;CTR;gamma;F2
144;0.946688;18.757635;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;delta;F3
145;0.9719;35.587698;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;theta;F3
146;0.950319;20.128364;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;alpha-1;F3
147;0.93777;16.069511;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;F3
148;0.974457;39.150428;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;beta1;F3
149;0.950343;20.138113;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;beta2;F3
150;0.962854;26.92088;17;51;0.0;[0.92 0.98];Average fixed raters;Preprocessed data;CTR;beta3;F3
151;0.938056;16.143675;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;gamma;F3
152;0.924408;13.228881;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;delta;F4
153;0.963467;27.372681;17;51;0.0;[0.93 0.98];Average fixed raters;Preprocessed data;CTR;theta;F4
154;0.936782;15.81824;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;F4
155;0.945587;18.377822;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;alpha-2;F4
156;0.977596;44.634758;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;beta1;F4
